slug,verdict,isbn,year,pages,weighted_latin,weighted_english,latin_pages,english_pages,mixed_pages,other_pages
aeneis,other,9788790696177,,84,0.115,0.032,0,0,0,84
amphitryo,latin_mostly,8799701677,,87,0.153,0.029,6,0,0,81
ars_amatoria,latin_mostly,9788790696182,,116,0.161,0.036,21,0,0,95
backup_v150_20260606_113934,latin,9781585108640,1990,429,0.224,0.038,302,1,0,126
beginners_latin_book,english,,,294,0.089,0.25,0,178,32,84
cambridge_1,mixed,,,210,0.112,0.313,48,89,15,58
cambridge_2,english_mostly,,,204,0.113,0.262,31,96,19,58
cambridge_3,english_mostly,,,334,0.09,0.27,18,165,24,127
cambridge_4,english,,,364,0.09,0.289,10,208,23,123
catilina,latin_mostly,8790696115,,84,0.193,0.033,40,0,1,43
cena_trimalchionis,other,8790696042,,68,0.127,0.035,0,0,0,68
chickering,latin_mostly,,,312,0.166,0.062,103,15,4,190
colloquia_personarum,latin,9781585109388,,99,0.234,0.072,70,6,2,21
conversational_latin,english,2780863166226,2007,413,0.092,0.218,4,240,20,149
de_bello_gallico,other,8799701650,2003,92,0.128,0.028,2,2,0,88
de_rerum_natura,latin,9788895611280,,146,0.212,0.034,90,0,0,56
diocles_flora,latin,,,48,0.241,0.132,30,15,0,3
dooge_beginners,english,,,359,0.094,0.257,5,208,46,100
dooge_beginners_2,english,,,359,0.095,0.259,5,209,43,102
dooge_beginners_key,english,,,32,0.1,0.347,6,24,1,1
ecce_romani,english,0801312019,,344,0.1,0.302,24,199,34,87
epitome_historiae_sacrae,latin,9788895611198,,209,0.235,0.036,135,1,2,71
fabellae_latinae,latin,8790696158,,33,0.286,0.03,28,0,0,5
fabulae_faciles,mixed,,,154,0.155,0.154,54,33,17,50
fabulae_syrae,latin,9788895611297,,149,0.233,0.033,109,0,9,31
forum_lectiones,latin_mostly,9789657698075,2018,365,0.182,0.077,144,14,3,204
gwynne,english,,1988,276,0.085,0.444,0,194,9,73
hobbitus,latin,,,425,0.274,0.05,382,13,2,28
illiterati_1,english,0415777674,1996,352,0.115,0.324,0,312,18,22
illiterati_2,english,0415922100,1999,397,0.096,0.308,1,314,21,61
intermediate_oral_cicero,other,,,145,0.131,0.115,31,20,7,87
latin_first_year_magoffin,english,,,227,0.103,0.31,0,177,31,19
latin_lower_forms,latin,,1888,208,0.163,0.078,130,11,1,66
latin_made_simple,english,0385413394,,288,0.112,0.366,20,202,27,39
latin_natural_method,mixed,,1957,192,0.189,0.201,35,38,107,12
latin_stories_wheelock,english_mostly,9780865162891,2004,115,0.108,0.204,22,53,14,26
new_latin_primer,other,,,694,0.045,0.162,1,211,3,479
nunc_loquamur,english_mostly,9781585103232,,114,0.111,0.237,19,29,13,53
nutting_reader,other,,,268,0.127,0.175,30,83,78,77
olimpia_daedalus,other,9781733005205,,133,0.207,0.165,66,16,22,29
olimpia_nicholas,latin,9781711355900,,80,0.2,0.123,47,9,7,17
olimpia_pyramus,other,9781986825726,,125,0.176,0.135,41,14,22,48
ora_maritima,english,,,174,0.096,0.318,25,101,4,44
oxford_1,english,9780199122264,1996,161,0.108,0.312,13,93,24,31
oxford_2,english_mostly,9780199122271,1997,179,0.099,0.26,7,88,31,53
oxford_3,english_mostly,,1997,226,0.098,0.261,14,113,27,72
pro_patria,english,,1907,208,0.117,0.286,46,116,9,37
probe,english_mostly,,,2,0.0,0.389,0,1,0,1
pugio_bruti,latin_mostly,,,39,0.202,0.023,19,1,0,19
reading_latin_grammar,english,9781107632264,1986,485,0.082,0.303,0,370,29,86
reading_latin_study_guide,english,,1979,145,0.068,0.431,0,141,1,3
reading_latin_text,english,9781107618701,1986,369,0.095,0.296,16,262,62,29
regulus,latin,9780156014045,1946,50,0.281,0.042,44,0,1,5
revised_latin_primer,english,9781108012362,1888,241,0.078,0.287,0,187,11,43
reynolds_reader,english_mostly,,,399,0.105,0.257,20,194,49,136
roma_aeterna,latin,9781585108640,1990,429,0.224,0.038,302,1,0,126
second_year_latin,english_mostly,,,66,0.119,0.274,9,30,0,27
septimus,mixed,,,180,0.115,0.262,48,65,21,46
sermones_romani,latin_mostly,8790696077,,84,0.179,0.036,31,0,1,52
teach_yourself,english,,1997,243,0.114,0.303,17,156,33,37
unus_duo_tres,other,9789657698136,,295,0.157,0.12,111,14,18,152
via_latina_easy,other,,,239,0.097,0.174,44,67,0,128
via_latina_romanorum,latin_mostly,9788494534621,,240,0.176,0.046,81,0,0,159
wheelock_7e,english,9780061997228,1960,606,0.087,0.289,0,414,96,96
wheelock_answer_key,english,,2011,238,0.103,0.402,0,232,4,2
wheelock_reader,english,0060935065,2001,438,0.114,0.253,99,236,34,69
wileys_real_latin,english,9781118561805,2014,473,0.089,0.317,22,290,37,124
